ID;Age;Gender;Income;EnrollmentStart;EnrollmentFinish;LastPeriodStart;LastPeriodFinish;DateLastVisit;DaysWithoutFrequency;LifetimeValue;UseByTime;AthleticsActivities;WaterActivities;FitnessActivities;DanceActivities;TeamActivities;RacketActivities;CombatActivities;NatureActivities;SpecialActivities;OtherActivities;NumberOfFrequencies;AttendedClasses;AllowedWeeklyVisitsBySLA;AllowedNumberOfVisitsBySLA;RealNumberOfVisits;NumberOfRenewals;HasReferences;NumberOfReferences;Dropout
10000;60;Female;5500.0;2019-09-03;2019-10-31;2019-07-01;2019-12-31;2019-10-30;1;89.35;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;7;;6.28;2;0;0.0;0;0
10001;29;Female;2630.0;2014-08-12;2015-09-14;2015-01-01;2015-12-31;2015-07-16;60;479.2;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;23.0;1;2.0;17.42;1;2;0.0;0;1
10002;23;Male;1980.0;2017-05-02;2017-06-01;2017-01-01;2017-06-30;2017-05-25;7;37.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0;7.0;30.03;6;0;0.0;0;1
10003;9;Male;0.0;2018-09-05;2019-02-12;2018-07-01;2019-06-30;2019-01-21;22;155.4;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;20.0;2;2.0;17.72;3;0;0.0;0;1
10004;35;Male;4320.0;2016-04-20;2018-06-07;2018-01-01;2018-06-30;2017-11-09;210;373.2;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;41.0;0;7.0;60.97;0;3;0.0;0;1
10005;24;Female;2220.0;2015-12-01;2016-07-31;2016-01-01;2016-12-31;2016-07-28;3;140.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0;7.0;59.01;26;0;0.0;0;1
10006;23;Male;2340.0;2015-10-06;2019-04-11;2019-01-01;2019-06-30;2019-03-26;16;143.5;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0;7.0;30.03;3;3;0.0;0;1
10007;23;Male;1910.0;2015-03-25;2019-07-31;2019-01-01;2019-06-30;2019-04-23;99;233.9;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;0;7.0;60.97;11;5;0.0;0;1
10008;29;Male;3220.0;2016-04-08;2017-06-07;2017-01-01;2017-06-30;2017-03-30;69;212.6;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;0;7.0;60.97;0;2;0.0;0;1
10009;14;Female;0.0;2016-07-07;2017-02-01;2016-07-01;2017-06-30;2016-11-19;74;253.5;0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;6;2.0;17.72;0;2;0.0;0;1
10010;20;Female;1800.0;2015-03-25;2016-01-04;2015-07-01;2016-06-30;2015-11-27;38;118.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0;7.0;60.97;3;2;0.0;0;1
10011;29;Female;2790.0;2017-11-11;2019-07-31;2019-01-01;2019-06-30;2019-05-28;64;566.7;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;194.0;0;7.0;60.97;28;1;0.0;0;1
10012;63;Female;4040.0;2014-10-14;2015-09-16;2015-01-01;2015-12-31;2015-07-20;58;370.7;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0;7.0;60.97;3;1;0.0;0;1
10013;12;Female;0.0;2017-10-02;2018-07-31;2018-01-01;2018-12-31;2017-11-11;262;188.6;0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;2.0;17.42;0;0;0.0;0;1
10014;28;Male;2050.0;2017-10-02;2018-04-07;2018-01-01;2018-06-30;2018-02-22;44;143.6;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.0;0;7.0;59.01;10;0;0.0;0;1
10015;26;Male;2580.0;2014-12-02;2015-09-16;2014-07-01;2014-12-31;2014-12-11;279;53.2;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0;7.0;28.98;6;1;0.0;0;1
10016;47;Male;4490.0;2014-10-08;2019-10-31;2019-07-01;2019-12-31;2019-09-26;35;828.5;1;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;296.0;0;7.0;42.0;9;5;0.0;0;1
10017;39;Female;3890.0;2018-10-11;2019-09-10;2019-07-01;2019-12-31;2019-07-30;42;185.5;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;67.0;0;7.0;62.02;3;1;0.0;0;1
10018;19;Male;1660.0;2018-10-22;2019-10-31;2019-01-01;2019-12-31;2019-10-30;1;290.6;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.0;0;7.0;34.02;12;1;0.0;0;1
10019;28;Male;2510.0;2019-10-01;2019-10-31;2019-07-01;2019-12-31;2019-10-21;10;52.0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0;;24.01;2;0;0.0;0;0
10020;30;Male;3020.0;2014-10-21;2016-07-31;2016-01-01;2016-12-31;2015-11-30;244;615.8;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;41.0;0;7.0;60.97;0;1;0.0;0;1
10021;26;Female;2120.0;2018-02-20;2018-07-31;2018-01-01;2018-12-31;2018-05-29;63;187.6;0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;8.0;0;7.0;60.97;0;0;0.0;0;1
10022;43;Female;3340.0;2014-10-06;2015-09-16;2015-01-01;2016-06-30;2015-06-05;103;352.2;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;19.0;19;2.0;68.58;1;1;0.0;0;1
10023;24;Male;1710.0;2016-10-13;2019-10-31;2018-01-01;2018-12-31;2019-10-25;6;969.9;1;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;207.0;207;3.0;26.13;11;3;0.0;0;1
10024;44;Female;2520.0;2015-04-17;2016-07-08;2016-01-01;2016-12-31;2016-05-24;45;314.7;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.0;0;7.0;60.97;8;2;0.0;0;1
10025;13;Female;0.0;2015-09-09;2015-09-09;2019-07-01;2019-12-31;2019-10-26;5;596.3;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;18;2.0;6.28;3;4;0.0;0;0
10026;17;Male;1290.0;2015-01-02;2016-07-31;2016-01-01;2016-12-31;2016-05-30;62;907.2;0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;64.0;67;2.0;17.42;0;2;0.0;0;1
10027;20;Female;1970.0;2018-03-15;2018-07-08;2018-01-01;2018-12-31;2018-04-23;76;60.0;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0;7.0;60.97;0;0;0.0;0;1
10028;20;Female;1230.0;2015-10-02;2017-08-29;2017-01-01;2017-12-31;2017-07-04;56;201.7;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0;7.0;30.03;3;3;0.0;0;1
10029;22;Female;1520.0;2018-04-05;2019-07-09;2019-01-01;2019-12-31;2019-06-05;34;260.1;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;1;7.0;60.97;4;2;0.0;0;1
10030;21;Female;1820.0;2017-02-28;2017-05-03;2017-01-01;2017-06-30;2017-04-29;4;73.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0;7.0;30.03;7;0;0.0;0;1
10031;2;Male;0.0;2015-09-19;2016-11-07;2016-07-01;2016-12-31;2016-07-23;107;492.85;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;17;2.0;15.14;0;1;0.0;0;1
10032;21;Male;1670.0;2015-06-15;2015-09-16;2015-01-01;2015-12-31;2015-06-16;92;37.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;7.0;28.98;1;1;0.0;0;1
10033;1;Female;0.0;2019-04-26;2019-10-13;2019-07-01;2019-12-31;2019-07-27;78;186.2;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;5;2.0;17.42;0;1;0.0;0;1
10034;74;Female;5210.0;2019-10-01;2019-10-31;2019-07-01;2019-12-31;2019-10-11;20;38.5;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0;;30.03;4;0;0.0;0;0
10035;19;Female;1720.0;2014-09-22;2015-12-05;2015-07-01;2015-12-31;2015-10-16;50;319.05;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;57.0;0;7.0;60.97;3;1;0.0;0;1
10036;13;Female;0.0;2014-10-02;2014-10-02;2019-07-01;2019-12-31;2019-10-22;9;2209.97;0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;199.0;166;2.0;17.14;5;5;1.0;1;0
10037;28;Male;1620.0;2016-04-01;2016-07-08;2016-01-01;2016-12-31;2016-05-30;39;85.6;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.0;0;7.0;60.97;5;0;0.0;0;1
10038;38;Female;1910.0;2018-09-29;2018-09-29;2019-07-01;2019-12-31;2019-10-30;1;554.6;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;127.0;125;3.0;26.13;25;1;0.0;0;0
10039;46;Female;3300.0;2018-09-11;2019-02-01;2019-01-01;2019-06-30;2019-01-28;4;192.4;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0;7.0;28.98;5;0;0.0;0;1
10040;26;Female;2100.0;2016-01-29;2016-07-31;2016-01-01;2016-12-31;2016-06-22;39;188.6;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.0;0;7.0;60.97;6;0;0.0;0;1
10041;20;Male;1360.0;2019-03-07;2019-07-09;2019-01-01;2019-12-31;2019-06-06;33;89.9;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0;7.0;32.97;1;0;0.0;0;1
10042;22;Female;1500.0;2018-10-08;2019-04-11;2019-01-01;2019-06-30;2019-03-07;35;80.5;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0;7.0;59.01;4;0;0.0;0;1
10043;22;Female;2190.0;2014-10-01;2015-09-16;2014-07-01;2014-12-31;2014-11-28;292;73.7;0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.0;0;7.0;28.98;13;1;0.0;0;1
10044;34;Female;3580.0;2016-01-12;2018-07-31;2018-01-01;2018-12-31;2018-07-05;26;565.8;0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;121.0;0;7.0;60.97;12;3;0.0;0;1
10045;6;Female;0.0;2016-07-09;2018-07-31;2018-01-01;2018-12-31;2018-07-02;29;921.45;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.0;52;2.0;17.42;5;3;0.0;0;1
10046;19;Female;1650.0;2018-04-26;2018-07-08;2018-01-01;2018-12-31;2018-05-21;48;45.4;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0;0;7.0;60.97;1;0;0.0;0;1
10047;11;Male;0.0;2018-09-20;2019-05-11;2019-01-01;2019-06-30;2019-04-26;15;270.4;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.0;15;2.0;17.42;4;0;0.0;0;1
10048;42;Female;4250.0;2016-02-11;2016-07-31;2016-01-01;2016-12-31;2016-07-29;2;203.6;0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;25;2.0;17.42;8;0;0.0;0;1
